Japanese,English
何 ,what 
あ ,a 
あなた ,you 
言 ,Word 
行 ,OK 
人 ,people 
知 ,Know 
事 ,case 
彼女 ,she 
お前 ,You
話 ,Story 
来 ,Come 
分か ,minutes
者 ,By 
聞 ,smell 
死 ,die 
時 ,hour 
ああ ,ah 
殺 ,kill 
前 ,forward 
中 ,middle 
達 ,reach
必要 ,need 
あの ,That
気 ,air 
大丈夫 ,Are you okay 
自分 ,myself 
持 ,hold
本当 ,TRUE 
時間 ,time 
我々 ,we 
一 ,one 
的 ,of 
無 ,none 
ありがとう ,thank you 
家 ,Home 
会 ,meeting 
日 ,Day 
年 ,Year 
仕事 ,work 
手 ,hand 
一緒 ,together 
後 ,back 
出来 ,come out 
他 ,he 
入 ,enter 
電話 ,Telephone 
目 ,eye 
様 ,Mr 
分 ,point 
車 ,car 
所 ,Place 
あんた ,You
度 ,Every time 
同じ ,same 
場所 ,place 
問題 ,question 
子供 ,child 
愛 ,like 
金 ,Money 
名前 ,name 
子 ,Child 
信 ,letter 
さあ ,here we go 
少し ,a bit 
使 ,make 
全て ,all 
世界 ,world 
教え ,lesson 
通り ,street 
来る ,come 
上 ,superior 
入れ ,Get in 
人間 ,human 
行け ,go 
今日 ,today 
物 ,thing 
女 ,female 
呼 ,Call
生き ,alive
あれ ,that 
じゃあ ,Well then
止め ,stop
心配 ,anxiety 
母 ,mother 
連れ ,companion
関係 ,relationship 
外 ,outside 
家族 ,family 
起き ,wake up
意味 ,meaning 
神 ,god 
警察 ,police 
力 ,force 
最後 ,at last 
作 ,do 
次 ,Second-rate 
息子 ,son 
取 ,Pick 
全部 ,all 
間 ,between 
書 ,Book 
捜査 ,investigation
起こ ,wake up
回 ,times 
別 ,another 
情報 ,information 
理由 ,reason 
数 ,number 
一人 ,one person 
部屋 ,room 
以上 ,that's all 
人生 ,Life 
急 ,Sudden 
食べ ,eat 
女性 ,woman 
続け ,continue 
事件 ,event 
始め ,start 
最初 ,first 
連絡 ,contact 
まあ ,oh dear 
調べ ,Investigation
安全 ,Safety 
下さ ,Down
楽し ,fun
殺人 ,kill
下 ,Down 
万 ,Ten thousand 
友達 ,friend 
約束 ,promise 
二 ,two 
結婚 ,marriage
無理 ,Impossible 
感じ ,feeling
得 ,have to 
最高 ,Highest 
送 ,deliver 
計画 ,plan 
仲間 ,fellow 
先 ,First 
可能 ,possible 
あいつ ,that person 
あと ,After 
明日 ,tomorrow 
変わ ,strange
聞こえ ,I can hear it
確認 ,confirmation 
命 ,life 
着 ,With
与え ,give
全員 ,Everyone
動 ,move 
理解 ,understand 
二人 ,two people
開け ,open 
友人 ,friend 
機 ,machine 
不 ,No 
あげ ,Fried
離れ ,apart
戦 ,war
先生 ,gentlemen 
言え ,say 
質問 ,question 
置 ,set
犯人 ,culprit 
受け ,Receiving
感 ,Feeling
第 ,No.
あぁ ,Ahh 
伝え ,Legend
素晴らし ,Wonderful 
ドア ,door
本 ,Book 
乗 ,Squared
用 ,use 
感謝 ,grateful 
正し ,Correct
言葉 ,words 
大 ,big 
立 ,stand 
写真 ,photograph 
２人 ,2 people
説明 ,explanation 
博士 ,PhD 
強 ,powerful 
絶対 ,absolute 
座 ,seat
国 ,country 
向か ,Across the street
名 ,name 
ある ,be 
野郎 ,Bastard
番 ,number
一番 ,number one 
重要 ,important 
状況 ,situation 
元気 ,fine 
水 ,water 
変え ,change
十分 ,ten
週間 ,week 
やあ ,Hi 
父親 ,Father 
間違い ,error 
王 ,king 
了解 ,learn 
相手 ,partner 
員 ,member 
声 ,voice
会え ,See you
音 ,sound 
多く ,many
消え ,vanish 
会社 ,company 
簡単 ,easy 
選 ,select 
残念 ,disappointing 
自由 ,free 
自身 ,himself
等 ,wait 
一体 ,One body
人々 ,people 
報告 ,Report 
読 ,reading
過ぎ ,too much
通 ,Pass 
アメリカ ,America 
元 ,Yuan 
命令 ,Order 
高 ,high 
体 ,body
大統領 ,president 
月 ,moon 
警官 ,police officer
語 ,words
学校 ,School 
対 ,versus 
決め ,decision
真実 ,truth 
初めて ,first time 
口 ,mouth 
大変 ,hard 
要 ,want 
変 ,strange 
戦争 ,war 
学 ,study 
あそこ ,over there 
武器 ,weapons
店 ,shop 
母親 ,Mother 
刑事 ,criminal
気持ち ,feeling 
間違 ,mistake 
運 ,luck 
記録 ,record 
光 ,Light 
手伝 ,help 
深 ,deep 
落ち着 ,calm down
存在 ,exist 
実 ,fruit 
役 ,role
病院 ,hospital 
住 ,live 
責任 ,responsibility 
あっ ,Ah 
普通 ,Normal
行動 ,action
大きな ,big 
監視 ,monitoring
協力 ,cooperation 
多分 ,perhaps 
実際 ,actual 
足 ,feet 
地球 ,Earth 
生活 ,Life 
任せ ,leave to 
気分 ,feeling 
解決 ,solve 
結果 ,result 
調査 ,investigation 
研究 ,Research 
何処 ,where
発見 ,discovery 
